Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,81.76,82.13,79.51,80.13,1579027
2010-01-05 16:00:00.288,79.87,80.93,79.23,80.79,1130906
2010-01-06 16:00:00.288,80.73,81.42,80.02,80.3,832315
2010-01-07 16:00:00.288,79.88,80.76,78.93,80.19,1284053
2010-01-08 16:00:00.288,79.64,80.0,78.2,78.73,1281029
2010-01-11 16:00:00.288,79.24,80.12,78.29,79.27,1356612
2010-01-12 16:00:00.288,78.46,79.15,77.51,77.98,1694763
2010-01-13 16:00:00.288,78.09,79.65,77.75,79.52,1346350
2010-01-14 16:00:00.288,79.35,79.55,78.55,79.12,785013
2010-01-15 16:00:00.288,78.89,79.25,78.25,78.97,1438559
2010-01-19 16:00:00.288,78.9,80.72,78.85,80.64,1330715
2010-01-20 16:00:00.288,80.21,80.36,79.11,79.75,1262251
2010-01-21 16:00:00.288,79.93,80.25,78.43,78.74,1944211
2010-01-22 16:00:00.288,78.72,79.43,77.5,77.67,2070064
2010-01-25 16:00:00.288,78.57,79.29,77.07,78.76,1502559
2010-01-26 16:00:00.288,78.14,79.56,78.05,78.33,1222851
2010-01-27 16:00:00.288,78.53,80.0,77.52,79.96,1669862
2010-01-28 16:00:00.288,80.27,80.61,77.58,78.55,1664258
2010-01-29 16:00:00.288,78.77,80.34,78.54,79.18,1834344
2010-02-01 16:00:00.288,79.51,81.06,79.45,80.47,1303442
2010-02-02 16:00:00.288,80.7,81.4,79.91,81.14,1391914
2010-02-03 16:00:00.288,80.71,80.77,79.74,79.81,1056859
2010-02-04 16:00:00.288,79.28,79.82,76.57,76.68,2768167
2010-02-05 16:00:00.288,76.88,78.07,75.78,77.63,2079927
2010-02-08 16:00:00.288,77.56,78.11,75.87,76.02,1531568
2010-02-09 16:00:00.288,76.77,76.98,75.34,75.81,1472745
2010-02-10 16:00:00.288,75.71,76.9,74.74,76.05,1104908
2010-02-11 16:00:00.288,75.94,76.8,75.26,76.74,1133882
2010-02-12 16:00:00.288,75.79,76.66,75.38,76.55,1324995
2010-02-16 16:00:00.288,77.08,78.24,76.81,78.08,1662255
2010-02-17 16:00:00.288,78.52,79.11,78.19,78.75,1244215
2010-02-18 16:00:00.288,78.5,80.28,78.49,79.95,1244579
2010-02-19 16:00:00.288,80.15,82.13,79.92,81.7,1650685
2010-02-22 16:00:00.288,81.9,82.22,80.98,81.34,1215527
2010-02-23 16:00:00.288,81.14,81.83,80.18,80.33,1645643
2010-02-24 16:00:00.288,80.73,81.58,80.31,81.53,1282591
2010-02-25 16:00:00.288,80.77,81.99,80.34,81.91,1091718
2010-02-26 16:00:00.288,82.09,83.23,81.65,82.19,1707596
2010-03-01 16:00:00.288,83.43,85.2,83.06,84.62,1846732
2010-03-02 16:00:00.288,85.12,86.46,84.9,85.14,1309917
2010-03-03 16:00:00.288,85.0,85.64,84.75,84.79,1071388
2010-03-04 16:00:00.288,84.73,85.98,84.73,85.84,1099241
2010-03-05 16:00:00.288,86.38,87.54,86.17,87.42,1430631
2010-03-08 16:00:00.288,87.55,88.24,87.17,87.58,1161054
2010-03-09 16:00:00.288,87.39,88.29,87.0,87.69,1242482
2010-03-10 16:00:00.288,87.75,88.09,87.02,87.81,1106323
2010-03-11 16:00:00.288,87.47,88.16,86.64,88.15,1339283
2010-03-12 16:00:00.288,88.51,89.29,88.25,88.99,1129258
2010-03-15 16:00:00.288,89.05,89.34,88.07,88.9,698576
2010-03-16 16:00:00.288,89.1,90.97,88.8,90.75,1122065
2010-03-17 16:00:00.288,90.9,92.01,90.53,91.74,1175070
2010-03-18 16:00:00.288,91.26,91.99,91.08,91.82,889970
2010-03-19 16:00:00.288,92.03,92.23,90.84,90.91,1352137
2010-03-22 16:00:00.288,90.5,92.09,90.39,91.79,1188730
2010-03-23 16:00:00.288,91.37,92.3,90.6,92.13,1072624
2010-03-24 16:00:00.288,92.1,93.51,91.84,92.93,1540992
2010-03-25 16:00:00.288,93.25,94.2,91.95,92.1,1660848
2010-03-26 16:00:00.288,92.3,92.69,91.44,92.14,1428715
2010-03-29 16:00:00.288,92.5,92.83,92.0,92.64,1015745
2010-03-30 16:00:00.288,92.75,93.54,92.55,93.16,1271542
2010-03-31 16:00:00.288,92.65,93.18,91.92,91.99,1493801
2010-04-01 16:00:00.288,92.45,92.66,91.75,92.4,1014486
2010-04-05 16:00:00.288,92.81,94.15,92.56,93.78,1050678
2010-04-06 16:00:00.288,93.2,95.17,92.98,94.7,1199333
2010-04-07 16:00:00.288,94.42,94.94,92.94,93.18,1316615
2010-04-08 16:00:00.288,93.08,93.47,92.63,93.05,974685
2010-04-09 16:00:00.288,93.26,94.74,92.97,94.63,951803
2010-04-12 16:00:00.288,94.44,94.77,93.75,93.93,886069
2010-04-13 16:00:00.288,94.01,95.47,93.77,95.18,1177895
2010-04-14 16:00:00.288,95.34,95.54,94.5,95.17,1055295
2010-04-15 16:00:00.288,94.79,95.31,93.21,93.27,1160241
2010-04-16 16:00:00.288,93.27,94.21,91.78,91.86,1690754
2010-04-19 16:00:00.288,91.25,93.15,91.23,92.46,1123129
2010-04-20 16:00:00.288,92.92,93.74,92.2,93.73,932428
2010-04-21 16:00:00.288,93.35,94.98,93.27,94.38,1235525
2010-04-22 16:00:00.288,93.63,96.18,93.11,95.91,1134500
2010-04-23 16:00:00.288,95.78,96.66,95.11,96.14,1088140
2010-04-26 16:00:00.288,96.04,97.9,95.76,97.21,1394897
2010-04-27 16:00:00.288,96.5,96.88,94.77,94.86,1501571
2010-04-28 16:00:00.288,95.13,96.05,94.78,95.12,1272848
2010-04-29 16:00:00.288,96.17,99.27,95.72,99.22,1469136
2010-04-30 16:00:00.288,98.75,99.66,96.76,96.91,1639487
2010-05-03 16:00:00.288,97.29,100.58,97.29,100.11,1581075
2010-05-04 16:00:00.288,99.22,99.61,97.22,98.27,2011848
2010-05-05 16:00:00.288,97.53,98.69,96.36,96.98,1228521
2010-05-06 16:00:00.288,96.52,97.48,89.04,94.25,2581847
2010-05-07 16:00:00.288,93.91,94.89,89.06,92.96,2680035
2010-05-10 16:00:00.288,95.48,98.49,94.86,98.41,2071852
2010-05-11 16:00:00.288,97.26,98.98,96.97,97.86,2068742
2010-05-12 16:00:00.288,98.56,99.27,97.62,98.6,1782052
2010-05-13 16:00:00.288,98.14,98.96,97.18,97.51,1519828
2010-05-14 16:00:00.288,96.91,96.99,92.8,93.84,2158919
2010-05-17 16:00:00.288,94.39,95.39,91.96,94.08,1401487
2010-05-18 16:00:00.288,94.9,94.98,90.91,91.18,1862726
2010-05-19 16:00:00.288,90.78,92.52,89.21,90.8,1911277
2010-05-20 16:00:00.288,89.16,89.65,86.86,87.03,2254742
2010-05-21 16:00:00.288,85.94,90.66,85.6,90.47,2712230
2010-05-24 16:00:00.288,90.54,91.09,88.87,88.9,1709145
2010-05-25 16:00:00.288,87.08,90.04,85.78,89.92,2146515
2010-05-26 16:00:00.288,90.14,91.74,89.4,90.98,3905383
2010-05-27 16:00:00.288,92.64,94.26,91.32,94.12,2117187
2010-05-28 16:00:00.288,93.83,94.15,92.47,92.69,1506411
2010-06-01 16:00:00.288,91.53,93.11,89.99,91.19,1441915
