Date,Open,High,Low,Close,Volume
2010-01-04 16:00:00.288,86.27,86.58,85.2,85.45,444752
2010-01-05 16:00:00.288,85.12,85.42,83.84,84.21,327161
2010-01-06 16:00:00.288,84.41,84.59,83.95,84.18,266379
2010-01-07 16:00:00.288,84.33,84.67,84.17,84.35,354569
2010-01-08 16:00:00.288,84.33,84.44,83.82,84.2,276891
2010-01-11 16:00:00.288,84.66,84.87,84.16,84.76,393933
2010-01-12 16:00:00.288,84.56,85.52,84.41,84.86,280557
2010-01-13 16:00:00.288,84.85,85.99,84.79,85.84,192158
2010-01-14 16:00:00.288,85.39,86.05,85.32,86.03,204595
2010-01-15 16:00:00.288,85.76,85.91,84.75,84.81,207937
2010-01-19 16:00:00.288,84.8,86.31,84.8,86.29,254121
2010-01-20 16:00:00.288,85.59,86.81,85.59,86.6,343981
2010-01-21 16:00:00.288,86.49,86.88,85.49,85.75,352805
2010-01-22 16:00:00.288,85.78,85.78,84.21,84.48,289720
2010-01-25 16:00:00.288,85.02,85.31,84.1,84.57,195752
2010-01-26 16:00:00.288,84.23,85.85,84.2,84.51,321330
2010-01-27 16:00:00.288,84.27,85.89,84.27,85.89,278885
2010-01-28 16:00:00.288,85.94,85.94,84.62,84.91,209626
2010-01-29 16:00:00.288,85.28,86.91,84.95,85.74,347915
2010-02-01 16:00:00.288,86.15,86.17,85.17,85.57,180691
2010-02-02 16:00:00.288,85.46,86.15,85.37,86.02,202562
2010-02-03 16:00:00.288,85.76,85.78,85.02,85.26,287217
2010-02-04 16:00:00.288,85.0,85.47,83.54,83.54,484477
2010-02-05 16:00:00.288,83.58,83.83,82.18,83.28,412907
2010-02-08 16:00:00.288,83.4,83.45,82.45,82.8,306245
2010-02-09 16:00:00.288,83.42,83.91,82.82,83.74,175542
2010-02-10 16:00:00.288,83.33,84.99,82.88,84.37,376725
2010-02-11 16:00:00.288,84.46,84.46,79.55,80.01,1755883
2010-02-12 16:00:00.288,79.39,81.19,79.0,80.97,892480
2010-02-16 16:00:00.288,81.36,82.45,80.85,82.36,667283
2010-02-17 16:00:00.288,82.46,82.7,82.16,82.5,642709
2010-02-18 16:00:00.288,82.63,83.61,82.43,83.46,504473
2010-02-19 16:00:00.288,83.4,84.11,83.3,83.86,338123
2010-02-22 16:00:00.288,83.81,84.53,83.6,84.43,306175
2010-02-23 16:00:00.288,84.04,84.63,83.72,84.2,421723
2010-02-24 16:00:00.288,84.39,85.3,83.96,85.22,382839
2010-02-25 16:00:00.288,84.66,86.01,84.46,85.81,430692
2010-02-26 16:00:00.288,86.11,86.24,85.22,85.42,332900
2010-03-01 16:00:00.288,85.69,85.71,84.7,85.48,412619
2010-03-02 16:00:00.288,85.5,85.53,84.01,84.45,948091
2010-03-03 16:00:00.288,84.7,84.7,82.9,83.01,938796
2010-03-04 16:00:00.288,82.99,83.13,82.46,82.7,635620
2010-03-05 16:00:00.288,83.02,83.08,81.6,81.76,1054424
2010-03-08 16:00:00.288,81.5,83.39,81.08,83.26,886381
2010-03-09 16:00:00.288,83.28,83.38,82.03,82.54,555615
2010-03-10 16:00:00.288,82.27,82.84,81.87,82.64,536141
2010-03-11 16:00:00.288,82.25,83.2,82.0,83.12,636012
2010-03-12 16:00:00.288,83.12,83.19,82.27,82.53,293488
2010-03-15 16:00:00.288,82.38,82.52,81.58,82.12,239024
2010-03-16 16:00:00.288,81.99,81.99,81.45,81.76,439665
2010-03-17 16:00:00.288,82.1,82.72,81.64,82.38,405148
2010-03-18 16:00:00.288,82.6,82.6,82.07,82.27,213320
2010-03-19 16:00:00.288,82.28,82.5,80.79,80.83,688810
2010-03-22 16:00:00.288,80.57,80.84,79.86,80.1,611383
2010-03-23 16:00:00.288,80.13,80.13,79.32,79.53,967652
2010-03-24 16:00:00.288,79.53,80.02,79.16,79.55,899761
2010-03-25 16:00:00.288,80.04,80.77,79.38,79.97,769161
2010-03-26 16:00:00.288,79.86,80.47,79.61,79.77,522353
2010-03-29 16:00:00.288,80.15,81.0,79.93,80.86,598933
2010-03-30 16:00:00.288,81.08,81.12,79.96,80.88,779117
2010-03-31 16:00:00.288,80.5,81.45,79.78,80.93,752678
2010-04-01 16:00:00.288,81.23,81.55,80.41,80.81,433648
2010-04-05 16:00:00.288,80.81,80.85,80.2,80.51,393169
2010-04-06 16:00:00.288,80.37,80.72,80.23,80.56,511784
2010-04-07 16:00:00.288,80.31,81.95,80.3,81.86,739732
2010-04-08 16:00:00.288,81.57,81.59,81.01,81.51,393682
2010-04-09 16:00:00.288,81.62,81.79,80.88,81.77,258821
2010-04-12 16:00:00.288,81.98,82.01,81.12,81.96,476013
2010-04-13 16:00:00.288,81.85,82.27,81.71,82.04,253250
2010-04-14 16:00:00.288,82.21,83.41,82.21,83.4,404838
2010-04-15 16:00:00.288,83.06,83.46,82.5,82.67,323924
2010-04-16 16:00:00.288,82.67,82.73,81.11,81.2,469717
2010-04-19 16:00:00.288,80.89,81.9,80.59,81.77,406012
2010-04-20 16:00:00.288,82.17,82.17,81.29,82.02,272698
2010-04-21 16:00:00.288,81.98,82.52,81.55,82.32,275242
2010-04-22 16:00:00.288,81.8,82.46,81.55,82.19,229794
2010-04-23 16:00:00.288,82.0,82.94,81.74,82.87,190590
2010-04-26 16:00:00.288,82.98,83.25,82.53,82.65,222842
2010-04-27 16:00:00.288,82.28,82.6,80.02,80.15,451384
2010-04-28 16:00:00.288,80.66,81.68,80.44,80.86,591284
2010-04-29 16:00:00.288,80.69,80.85,77.65,78.19,1012953
2010-04-30 16:00:00.288,76.71,77.37,76.41,76.65,927039
2010-05-03 16:00:00.288,77.92,77.92,75.74,76.98,657888
2010-05-04 16:00:00.288,76.04,76.31,75.49,75.55,448116
2010-05-05 16:00:00.288,75.57,77.44,75.33,76.89,1025815
2010-05-06 16:00:00.288,76.53,77.24,73.45,74.17,872435
2010-05-07 16:00:00.288,73.92,75.26,73.66,74.35,1019245
2010-05-10 16:00:00.288,76.56,77.12,75.23,77.1,728937
2010-05-11 16:00:00.288,76.42,77.28,76.06,76.97,530634
2010-05-12 16:00:00.288,77.35,77.8,76.85,77.74,371132
2010-05-13 16:00:00.288,77.81,78.49,77.7,77.82,558376
2010-05-14 16:00:00.288,77.59,77.59,76.51,76.86,598558
2010-05-17 16:00:00.288,76.81,76.94,76.02,76.81,667485
2010-05-18 16:00:00.288,77.58,77.66,75.86,75.96,439502
2010-05-19 16:00:00.288,75.79,76.87,75.23,76.22,321778
2010-05-20 16:00:00.288,75.28,75.59,73.65,73.65,435874
2010-05-21 16:00:00.288,72.92,73.74,72.62,73.7,654243
2010-05-24 16:00:00.288,73.34,74.21,72.54,72.64,429631
2010-05-25 16:00:00.288,71.3,72.48,70.09,72.33,650579
2010-05-26 16:00:00.288,72.78,72.78,71.75,71.78,618965
2010-05-27 16:00:00.288,72.93,74.05,72.53,73.98,422589
2010-05-28 16:00:00.288,73.6,73.93,72.65,72.68,447533
2010-06-01 16:00:00.288,72.16,72.82,70.92,70.96,524869
2010-06-02 16:00:00.288,71.4,72.16,70.96,72.16,514714
2010-06-03 16:00:00.288,72.11,72.3,71.52,71.99,466917
2010-06-04 16:00:00.288,71.08,71.46,69.93,70.01,451333
2010-06-07 16:00:00.288,70.11,70.45,69.36,69.57,821434
2010-06-08 16:00:00.288,69.63,70.42,68.71,70.41,716227
2010-06-09 16:00:00.288,70.5,70.91,69.78,70.01,443954
2010-06-10 16:00:00.288,70.83,71.45,70.83,71.26,599659
2010-06-11 16:00:00.288,70.73,71.5,70.21,71.5,374797
2010-06-14 16:00:00.288,71.91,72.76,71.5,72.21,528346
2010-06-15 16:00:00.288,72.39,74.19,72.15,74.0,399923
2010-06-16 16:00:00.288,73.83,74.08,73.38,73.83,319767
2010-06-17 16:00:00.288,74.05,75.24,74.0,75.21,615987
2010-06-18 16:00:00.288,75.22,76.15,74.92,75.88,588542
2010-06-21 16:00:00.288,76.73,76.73,75.01,75.09,408783
2010-06-22 16:00:00.288,75.22,75.42,74.0,74.02,688994
2010-06-23 16:00:00.288,73.95,74.05,72.05,72.08,659799
2010-06-24 16:00:00.288,71.76,72.11,71.2,71.27,437788
2010-06-25 16:00:00.288,71.6,71.94,70.88,71.76,1021484
2010-06-28 16:00:00.288,71.72,72.68,71.49,72.24,291673
2010-06-29 16:00:00.288,71.47,71.47,70.0,70.3,648604
2010-06-30 16:00:00.288,70.32,71.42,70.08,70.72,559373
2010-07-01 16:00:00.288,70.86,70.86,68.96,69.85,365021
2010-07-02 16:00:00.288,70.25,70.45,69.41,69.48,174018
2010-07-06 16:00:00.288,70.27,70.61,68.85,69.24,486814
2010-07-07 16:00:00.288,69.45,71.06,69.44,71.06,287008
2010-07-08 16:00:00.288,71.72,72.22,71.24,72.18,563506
2010-07-09 16:00:00.288,71.92,73.29,71.88,73.22,431995
2010-07-12 16:00:00.288,72.98,73.27,72.49,72.97,311228
2010-07-13 16:00:00.288,73.33,74.54,73.33,74.41,575723
2010-07-14 16:00:00.288,74.34,74.56,73.61,74.53,554817
2010-07-15 16:00:00.288,74.75,74.75,73.24,73.77,273497
2010-07-16 16:00:00.288,73.41,73.48,71.58,71.67,291709
2010-07-19 16:00:00.288,71.73,72.01,71.13,71.74,195963
2010-07-20 16:00:00.288,71.17,72.53,70.72,72.44,278218
2010-07-21 16:00:00.288,72.57,72.77,71.11,71.28,410077
2010-07-22 16:00:00.288,72.12,73.44,72.11,73.42,358642
2010-07-23 16:00:00.288,73.22,74.04,72.98,73.9,278668
2010-07-26 16:00:00.288,74.1,74.99,73.95,74.82,308898
2010-07-27 16:00:00.288,74.74,75.42,74.14,74.24,317399
2010-07-28 16:00:00.288,73.65,74.54,72.66,72.8,437386
2010-07-29 16:00:00.288,74.12,77.46,74.12,76.9,856270
2010-07-30 16:00:00.288,76.32,77.83,75.9,77.62,543553
2010-08-02 16:00:00.288,78.72,79.11,77.93,78.42,407810
2010-08-03 16:00:00.288,77.99,78.16,77.4,77.57,337622
2010-08-04 16:00:00.288,78.0,78.69,77.79,78.2,250923
2010-08-05 16:00:00.288,78.14,78.87,78.01,78.5,306222
2010-08-06 16:00:00.288,78.0,79.65,77.38,79.59,599243
2010-08-09 16:00:00.288,79.7,80.4,79.61,80.26,351467
2010-08-10 16:00:00.288,79.88,80.32,79.32,79.96,551952
2010-08-11 16:00:00.288,79.12,79.31,78.12,78.48,751004
2010-08-12 16:00:00.288,77.5,79.14,77.5,78.94,303786
2010-08-13 16:00:00.288,78.94,79.49,78.54,79.11,271963
2010-08-16 16:00:00.288,78.65,79.44,78.42,79.31,261285
2010-08-17 16:00:00.288,79.85,80.97,79.85,80.57,363526
2010-08-18 16:00:00.288,80.44,81.16,79.75,80.7,274650
2010-08-19 16:00:00.288,80.05,80.66,79.63,79.77,387398
2010-08-20 16:00:00.288,79.23,80.72,79.01,80.59,390553
2010-08-23 16:00:00.288,80.82,81.65,80.15,80.15,343684
2010-08-24 16:00:00.288,79.54,81.02,78.98,80.3,452526
2010-08-25 16:00:00.288,79.99,81.04,79.83,80.94,390918
2010-08-26 16:00:00.288,81.32,81.32,78.73,78.95,657545
2010-08-27 16:00:00.288,79.51,81.0,78.36,81.0,315437
2010-08-30 16:00:00.288,80.43,80.68,79.86,79.88,296034
2010-08-31 16:00:00.288,79.44,79.63,78.68,79.14,546746
2010-09-01 16:00:00.288,80.2,81.17,79.82,80.5,459730
2010-09-02 16:00:00.288,80.74,81.0,80.23,80.5,388159
2010-09-03 16:00:00.288,80.85,82.69,80.58,82.58,432597
2010-09-07 16:00:00.288,82.13,82.34,80.78,80.84,336231
2010-09-08 16:00:00.288,81.45,82.39,81.29,82.13,409574
2010-09-09 16:00:00.288,82.91,82.99,82.16,82.51,212772
2010-09-10 16:00:00.288,82.7,82.7,81.86,82.12,145590
2010-09-13 16:00:00.288,82.81,83.28,82.35,83.24,277773
2010-09-14 16:00:00.288,83.11,83.71,82.71,83.39,244135
2010-09-15 16:00:00.288,83.16,84.21,82.98,84.02,187940
2010-09-16 16:00:00.288,83.89,84.77,83.59,84.68,266914
2010-09-17 16:00:00.288,84.77,85.49,84.52,85.05,672463
2010-09-20 16:00:00.288,85.07,85.19,84.03,84.81,414191
2010-09-21 16:00:00.288,84.94,85.13,84.24,84.38,221307
2010-09-22 16:00:00.288,84.28,84.9,84.11,84.11,211841
2010-09-23 16:00:00.288,83.76,84.53,83.48,83.51,238775
2010-09-24 16:00:00.288,84.46,85.16,84.14,84.66,254899
2010-09-27 16:00:00.288,84.86,85.78,84.12,85.16,267093
2010-09-28 16:00:00.288,85.39,86.36,84.18,86.13,299048
2010-09-29 16:00:00.288,85.78,86.25,85.2,86.01,233339
2010-09-30 16:00:00.288,86.6,87.06,86.04,86.47,440540
2010-10-01 16:00:00.288,87.09,87.15,84.65,85.19,329898
2010-10-04 16:00:00.288,85.16,85.79,84.38,85.18,217191
2010-10-05 16:00:00.288,85.99,86.72,84.63,86.65,356622
2010-10-06 16:00:00.288,86.44,86.71,85.09,85.34,171290
2010-10-07 16:00:00.288,85.47,86.45,85.47,86.0,282561
2010-10-08 16:00:00.288,86.23,86.33,85.47,86.0,150956
2010-10-11 16:00:00.288,86.18,87.11,81.11,81.61,3034036
2010-10-12 16:00:00.288,81.52,82.99,80.76,82.72,1412536
2010-10-13 16:00:00.288,82.79,85.01,82.55,83.97,875289
2010-10-14 16:00:00.288,83.76,84.79,82.82,84.76,607169
2010-10-15 16:00:00.288,84.95,85.18,84.18,84.22,371960
2010-10-18 16:00:00.288,84.35,84.73,83.85,84.71,264562
2010-10-19 16:00:00.288,83.86,84.58,82.66,82.98,342190
2010-10-20 16:00:00.288,83.23,84.63,83.23,84.43,365963
2010-10-21 16:00:00.288,84.53,85.05,83.85,84.24,368017
2010-10-22 16:00:00.288,84.09,84.6,84.0,84.06,213082
2010-10-25 16:00:00.288,84.48,85.11,84.4,84.53,245294
2010-10-26 16:00:00.288,84.47,85.55,84.38,84.81,275463
2010-10-27 16:00:00.288,84.12,84.59,83.78,84.15,220242
2010-10-28 16:00:00.288,84.54,84.54,83.29,83.56,224735
2010-10-29 16:00:00.288,83.4,84.47,83.1,84.28,434277
2010-11-01 16:00:00.288,84.87,85.94,84.16,84.56,429051
2010-11-02 16:00:00.288,85.28,85.72,85.04,85.47,231564
2010-11-03 16:00:00.288,85.52,86.56,85.45,86.13,411846
2010-11-04 16:00:00.288,86.6,88.42,86.39,88.33,352939
2010-11-05 16:00:00.288,88.41,88.94,88.13,88.82,235970
2010-11-08 16:00:00.288,88.37,88.49,87.56,87.98,238755
2010-11-09 16:00:00.288,88.26,89.11,87.5,87.69,388873
2010-11-10 16:00:00.288,87.59,88.62,87.36,88.38,423700
2010-11-11 16:00:00.288,87.65,88.18,87.09,87.95,253027
2010-11-12 16:00:00.288,87.66,88.28,86.53,86.56,305882
2010-11-15 16:00:00.288,86.8,87.61,85.99,86.31,382509
2010-11-16 16:00:00.288,85.91,86.22,84.97,85.6,347803
2010-11-17 16:00:00.288,85.76,85.8,84.92,85.01,203803
